speciesCode,cat,taxonOrder,aba
x00621,hybrid,16340,
x00635,hybrid,16344,
x00718,hybrid,16801,
x00859,hybrid,16805,
x00441,hybrid,16817,
x00442,hybrid,16818,
x00408,hybrid,16824,
x00961,hybrid,16877,
x00409,hybrid,16993,
x00410,hybrid,16997,
x00741,hybrid,17131,
x00742,hybrid,17160,
x00923,hybrid,17420,
x00411,hybrid,18498,
x00412,hybrid,18508,
x00889,hybrid,18535,
x00890,hybrid,18536,
x00962,hybrid,18987,
x00812,hybrid,19519,
x00413,hybrid,19852,
x00814,hybrid,19876,
x00929,hybrid,19880,
x00463,hybrid,19954,
x00862,hybrid,20006,
x00963,hybrid,20095,
x00813,hybrid,20148,
x00860,hybrid,20239,
x00464,hybrid,20252,
x00861,hybrid,20364,
x00443,hybrid,20423,
bxgjay1,hybrid,20501,
x00622,hybrid,20502,
x00964,hybrid,20514,
x00891,hybrid,20525,
x00465,hybrid,20777,
x00636,hybrid,20790,
x00466,hybrid,20825,
x00195,hybrid,21269,
x00623,hybrid,21280,
x00708,hybrid,21297,
x00637,hybrid,21298,
x00743,hybrid,21304,
x00965,hybrid,21335,
x00709,hybrid,21353,
x00642,hybrid,21354,
bcxtit1,hybrid,21359,
x00863,hybrid,21640,
x00966,hybrid,22178,
x00715,hybrid,23224,
x00716,hybrid,23225,
x00666,hybrid,23300,
x00710,hybrid,23301,
x00658,hybrid,23349,
x00717,hybrid,23389,
x00661,hybrid,23390,
x00660,hybrid,23399,
x00892,hybrid,23400,
x00659,hybrid,23413,
x00744,hybrid,23678,
x00967,hybrid,23713,
x00815,hybrid,24570,
x00467,hybrid,24627,
x00968,hybrid,24822,
x00816,hybrid,25812,
x00643,hybrid,26232,
x00969,hybrid,26480,
x00970,hybrid,26565,
x00468,hybrid,26956,
x00469,hybrid,26957,
x00893,hybrid,26958,
x00971,hybrid,27109,
x00470,hybrid,27133,
x00907,hybrid,27180,
x00703,hybrid,27181,
x00972,hybrid,27202,
x00864,hybrid,27204,
x00204,hybrid,27205,
x00865,hybrid,27378,
x00644,hybrid,27801,
x00973,hybrid,27804,
x00927,hybrid,28124,
x00471,hybrid,28569,
x00472,hybrid,28573,
x00817,hybrid,28574,
x00745,hybrid,28633,
x00818,hybrid,28671,
x00771,hybrid,28814,
x00906,hybrid,30005,
x00473,hybrid,30043,
x00932,hybrid,30095,
x00936,hybrid,30137,
x00873,hybrid,30508,
x00645,hybrid,30513,
x00974,hybrid,30514,
x00917,hybrid,30521,
x00754,hybrid,30570,
x00874,hybrid,30572,
x00934,hybrid,30667,
x00828,hybrid,31069,
x00625,hybrid,31433,
x00904,hybrid,31536,
x00829,hybrid,31538,
x00905,hybrid,31556,
x00714,hybrid,31557,
x00713,hybrid,31587,
x00919,hybrid,31605,
x00447,hybrid,31607,
x00871,hybrid,31623,
x00823,hybrid,31662,
x00975,hybrid,31707,
x00198,hybrid,31912,
x00976,hybrid,31921,
x00200,hybrid,31922,
x00201,hybrid,31926,
x00199,hybrid,31927,
x00869,hybrid,32066,
x00053,hybrid,32108,
x00752,hybrid,32110,
x00900,hybrid,32111,
x00451,hybrid,32113,
x00720,hybrid,32115,
x00039,hybrid,32117,
x00450,hybrid,32152,
x00474,hybrid,32224,
x00702,hybrid,32229,
x00870,hybrid,32258,
x00475,hybrid,32324,
x00476,hybrid,32325,
x00706,hybrid,32326,
x00446,hybrid,32334,
x00445,hybrid,32343,
x00477,hybrid,32429,
x00901,hybrid,32443,
x00935,hybrid,32464,
x00827,hybrid,32494,
x00490,hybrid,32634,
x00449,hybrid,32665,
x00013,hybrid,32667,
x00903,hybrid,32670,
x00478,hybrid,32673,
x00753,hybrid,32774,
x00479,hybrid,32775,
x00977,hybrid,32776,
x00669,hybrid,32855,
brewar,hybrid,32856,
lawwar,hybrid,32857,
x00819,hybrid,32881,
x00638,hybrid,32883,
x00746,hybrid,32902,
x00699,hybrid,32903,
x00747,hybrid,32907,
x00748,hybrid,32938,
x00749,hybrid,32939,
x00700,hybrid,32940,
x00480,hybrid,32954,
x00750,hybrid,32956,
x00711,hybrid,32957,
x00203,hybrid,32969,
x00820,hybrid,32972,
x00821,hybrid,32975,
x00701,hybrid,33015,
x00822,hybrid,33016,
x00481,hybrid,33017,
x00772,hybrid,33019,
x00894,hybrid,33021,
x00482,hybrid,33026,
x00978,hybrid,33027,
x00483,hybrid,33028,
x00979,hybrid,33032,
x00980,hybrid,33046,
x00773,hybrid,33047,
x00461,hybrid,33048,
sutwar,hybrid,33054,
x00937,hybrid,33055,
x00719,hybrid,33064,
x00866,hybrid,33065,
x00484,hybrid,33074,
x00895,hybrid,33078,
x00639,hybrid,33079,
x00624,hybrid,33081,
x00867,hybrid,33082,
x00059,hybrid,33085,
x00485,hybrid,33086,
x00486,hybrid,33091,
x00664,hybrid,33092,
x00751,hybrid,33102,
x00487,hybrid,33171,
x00896,hybrid,33243,
x00868,hybrid,33263,
x00824,hybrid,33307,
x00825,hybrid,33308,
x00826,hybrid,33314,
x00444,hybrid,33315,
x00774,hybrid,33406,
x00448,hybrid,33428,
x00872,hybrid,33475,
ixlbun,hybrid,33476,
x00918,hybrid,33490,
x00902,hybrid,33491,
x00488,hybrid,33501,
x00897,hybrid,33506,
x00489,hybrid,33661,
x00898,hybrid,33684,
x00981,hybrid,34143,
x00899,hybrid,34493,
brant1,intergrade,284,
tunswa2,intergrade,346,
gnwtea1,intergrade,544,
stream4,intergrade,4914,
bknsti3,intergrade,5630,
x00435,intergrade,6365,
comter3,intergrade,6530,
santer5,intergrade,6565,
wurher,intergrade,7175,
chbtou4,intergrade,10465,
chbtou6,intergrade,10467,
chbtou5,intergrade,10469,
rxyfli,intergrade,11382,
camfli4,intergrade,11402,
criros3,intergrade,11935,
x00931,intergrade,13104,
ausmag4,intergrade,19037,
ausmag5,intergrade,19041,
blurot3,intergrade,28663,
bknwea3,intergrade,29760,
weywag21,intergrade,30651,
weywag11,intergrade,30652,
weywag10,intergrade,30653,
weywag12,intergrade,30654,
whiwag12,intergrade,30688,
gycrof5,intergrade,31249,
daejun3,intergrade,32051,
daejun7,intergrade,32053,
daejun8,intergrade,32055,
daejun4,intergrade,32056,
daejun6,intergrade,32058,
yelwar4,intergrade,33014,
yerwar3,intergrade,33043,
flrtan4,intergrade,33657,
lesrhe4,issf,15,
lesrhe3,issf,18,
higtin2,issf,21,
higtin3,issf,26,
brntin1,issf,73,
brntin2,issf,74,
yeltin2,issf,102,
yeltin3,issf,103,
thitin2,issf,113,
thitin3,issf,114,
sobkiw2,issf,206,
sobkiw3,issf,207,
bkbwhd1,issf,222,
bkbwhd2,issf,223,
gragoo2,issf,249,
gragoo3,issf,250,
gwfgoo1,issf,256,
gwfgoo4,issf,257,
gwfgoo2,issf,258,
gwfgoo3,issf,261,
dabbra1,issf,280,
atlbra1,issf,281,
blkbra1,issf,282,
alcgoo1,issf,293,
ricgoo1,issf,294,
cacgoo2,issf,295,
tacgoo1,issf,296,
cangoo4,issf,304,
cangoo3,issf,307,
cangoo1,issf,310,
tunswa1,issf,344,
bewswa1,issf,345,
spwgoo2,issf,385,
spwgoo3,issf,386,
gadwal1,issf,448,
gadwal2,issf,449,
motduc1,issf,510,
motduc2,issf,511,
whcpin1,issf,520,
whcpin2,issf,523,
yebpin2,issf,537,
yebpin3,issf,538,
egwtea1,issf,542,
agwtea1,issf,543,
andtea2,issf,555,
andtea3,issf,556,
spetea2,issf,558,
spetea4,issf,559,
comeid5,issf,637,
comeid6,issf,638,
comeid1,issf,639,
comeid2,issf,640,
comeid3,issf,641,
comeid4,issf,642,
